,value,metric,type
0,0.010184542524223737,ade,ml
1,0.007638533542730774,ade,ml
2,0.022401862356792836,ade,ml
3,0.00948170850949154,ade,ml
4,0.008702037078799097,ade,ml
5,0.022321932394753264,ade,ml
6,0.009890120445523917,ade,ml
7,0.05316440231031803,ade,ml
8,0.03294241183820403,ade,ml
9,0.009642230815030324,ade,ml
10,0.05910254227671907,ade,ml
11,0.043078989499673793,ade,ml
12,0.012367080126894012,ade,ml
13,0.012454175824838598,ade,ml
14,0.04091560096714896,ade,ml
15,0.01382259934371466,ade,ml
16,0.015592694750585378,ade,ml
17,0.04437931430229955,ade,ml
18,0.013410737362369252,ade,ml
19,0.010262878599353946,ade,ml
20,0.05044077778360765,ade,ml
21,0.3764249399220862,ade,ml
22,0.44052474284801185,ade,ml
23,0.4572495207835268,ade,ml
24,0.34503634029784497,ade,ml
25,0.31337988115059995,ade,ml
26,0.13620893120487973,ade,ml
27,0.5668904400885637,ade,ml
28,0.2420946950898355,ade,ml
29,0.09473019437824344,ade,ml
30,0.26679099450675187,ade,ml
31,0.13689009296518515,ade,ml
32,0.18844852306896676,ade,ml
33,0.41669925175052897,ade,ml
34,0.4669394629556723,ade,ml
35,0.4131902926497046,ade,ml
36,0.446582960056735,ade,ml
37,0.19270072682682046,ade,ml
38,0.3540434302273225,ade,ml
39,0.40603652875324453,ade,ml
40,0.20109098284602026,ade,ml
41,0.43882073656175136,ade,ml
42,0.24893356264918645,ade,ml
43,0.5404236993493026,ade,ml
44,0.44086801921861557,ade,ml
45,0.10401208416851654,ade,ml
46,0.34529033802856685,ade,ml
47,0.6017815459851954,ade,ml
48,0.724754770702506,ade,ml
49,0.07383588460060278,ade,ml
50,0.2434250924030291,ade,ml
51,0.25621168777706466,ade,ml
52,0.13524737222499253,ade,ml
53,0.03371238159062157,ade,ml
54,0.03893971585461736,ade,ml
55,0.03957884137704264,ade,ml
56,0.03576353393942152,ade,ml
57,0.041638487341194415,ade,ml
58,0.03697341176775281,ade,ml
59,0.04944532653189206,ade,ml
60,0.057786061927332245,ade,ml
61,0.4145008890621704,ade,ml
62,0.561139135439492,ade,ml
63,0.33292429057486417,ade,ml
64,0.43941151405434625,ade,ml
65,0.014282219763364334,ade,ml
66,0.012075356890035473,ade,ml
67,0.06341681035371174,ade,ml
68,0.014282219763364334,ade,ml
69,0.012075356890035473,ade,ml
70,0.05901289510335273,ade,ml
71,0.014282219763364334,ade,ml
72,0.012075356890035473,ade,ml
73,0.08356976312483999,ade,ml
74,0.014282219763364334,ade,ml
75,0.011809115223361186,ade,ml
76,0.2050944938287985,ade,ml
77,0.015367334767063014,ade,ml
78,0.01415475730500266,ade,ml
79,0.2747127947201768,ade,ml
80,0.33091404477598174,ade,ml
81,0.1949283509262256,ade,ml
82,0.14218195755444227,ade,ml
83,0.27723759031005196,ade,ml
84,0.2419190737578094,ade,ml
85,0.0706676250970551,ade,ml
86,0.022125370505383213,ade,ml
87,0.026133194211493623,ade,ml
88,0.381473715354139,ade,ml
89,0.15673868568041402,ade,ml
90,0.33984012026413635,ade,ml
91,0.092945101883315,ade,ml
92,0.04940852540338723,ade,ml
93,0.08200386633530587,ade,ml
94,0.09486273152392723,ade,ml
95,0.12357833747526174,ade,ml
96,0.14621382572933087,ade,ml
97,0.17450021003219662,ade,ml
98,0.20878668349512094,ade,ml
99,0.22463038160030668,ade,ml
100,0.20002630151755826,ade,ml
101,0.17488816543258526,ade,ml
102,0.4335294787827571,ade,ml
103,0.4618688325534334,ade,ml
104,0.19739378205310484,ade,ml
105,0.005119378876242499,ade,ml
106,0.024000281795110368,ade,ml
107,0.007658467294430464,ade,ml
108,0.01340075610151893,ade,ml
109,0.00997003027453299,ade,ml
110,0.020924741577315206,ade,ml
111,0.016029562524108348,ade,ml
112,0.0056966917410164715,ade,ml
113,0.01903718147447346,ade,ml
114,0.008785530321723219,ade,ml
115,0.012366540276179278,ade,ml
116,0.012366540276179278,ade,ml
117,0.012366540276179278,ade,ml
118,0.012366540276179278,ade,ml
119,0.012366540276179278,ade,ml
120,0.012366540276179278,ade,ml
121,0.012366540276179278,ade,ml
122,0.012366540276179278,ade,ml
123,0.012366540276179278,ade,ml
124,0.012366540276179278,ade,ml
125,0.012366540276179278,ade,ml
126,0.012366540276179278,ade,ml
127,0.012366540276179278,ade,ml
128,0.012366540276179278,ade,ml
129,0.012366540276179278,ade,ml
130,0.012366540276179278,ade,ml
131,0.012366540276179278,ade,ml
132,0.012366540276179278,ade,ml
133,0.012366540276179278,ade,ml
134,0.012366540276179278,ade,ml
135,0.012366540276179278,ade,ml
136,0.012366540276179278,ade,ml
137,0.012366540276179278,ade,ml
138,0.012366540276179278,ade,ml
139,0.012366540276179278,ade,ml
140,0.4265589505118547,ade,ml
141,0.1395196599128055,ade,ml
142,0.3227765597265677,ade,ml
143,0.1287367904522613,ade,ml
144,0.8155694361990676,ade,ml
145,0.29960178702316037,ade,ml
146,0.433258073628686,ade,ml
147,0.8776976082560107,ade,ml
148,0.218837033368232,ade,ml
149,0.2829583364122635,ade,ml
150,0.01566788139972421,ade,ml
151,0.009964809275935533,ade,ml
