,value,metric,type
0,0.7646662541725898,fde,ml
1,0.43982857226266414,fde,ml
2,0.32618321667780825,fde,ml
3,0.26694705148819153,fde,ml
4,0.14039301362328116,fde,ml
5,1.8049134088753482,fde,ml
6,1.9397300529721493,fde,ml
7,0.5141230355393144,fde,ml
8,0.7468793826024362,fde,ml
9,0.3433398939515143,fde,ml
10,0.4552736728188657,fde,ml
11,0.24451524259884583,fde,ml
12,2.233534770777315,fde,ml
13,2.3228501966218835,fde,ml
14,0.5577132579287511,fde,ml
15,0.8404962260547237,fde,ml
16,0.4058413204799715,fde,ml
17,0.4884833960608593,fde,ml
18,0.2991437206987964,fde,ml
19,2.088414993602326,fde,ml
20,2.2859700026787286,fde,ml
21,1.4387373963776493,fde,ml
22,0.21650248096439792,fde,ml
23,0.46430741354728045,fde,ml
24,0.2779631628455227,fde,ml
25,0.58792554122349,fde,ml
26,0.43142647795942257,fde,ml
27,2.1148096757303643,fde,ml
28,2.1006451466205185,fde,ml
29,1.129429109931675,fde,ml
30,0.361817441695002,fde,ml
31,0.23626422397452537,fde,ml
32,0.27480100778114647,fde,ml
33,0.643079492696536,fde,ml
34,0.3629504205369453,fde,ml
35,2.5465693334261554,fde,ml
36,2.3072739006228393,fde,ml
37,0.7897316802790526,fde,ml
38,0.3599387754058017,fde,ml
39,0.23367937849273412,fde,ml
40,0.36037921841403864,fde,ml
41,0.43365661794125593,fde,ml
42,0.29348255232559756,fde,ml
43,2.2218866702191495,fde,ml
44,2.0749315843251894,fde,ml
45,1.0368418956179772,fde,ml
46,0.63437444291057,fde,ml
47,0.24091282974141903,fde,ml
48,0.4145061078092108,fde,ml
49,0.41657236191759284,fde,ml
50,0.7540363101247411,fde,ml
51,1.8712946493972904,fde,ml
52,0.9564902552961898,fde,ml
53,0.8783405588923963,fde,ml
54,0.6119731032333511,fde,ml
55,0.6119263830206535,fde,ml
56,0.5688569506909463,fde,ml
57,0.701939074036471,fde,ml
58,1.8647101910483632,fde,ml
59,0.18293844507762402,fde,ml
60,0.8777399954838632,fde,ml
61,0.641840603772718,fde,ml
62,0.6106536799578398,fde,ml
63,0.6606491017570935,fde,ml
64,0.8520216329839945,fde,ml
65,0.2709013250266503,fde,ml
66,0.7146654018148133,fde,ml
67,0.7792547637612154,fde,ml
68,0.17532841982285885,fde,ml
69,0.859336029231015,fde,ml
70,0.9260776456142755,fde,ml
71,0.6722921892847489,fde,ml
72,0.5926405386970189,fde,ml
73,0.6666668333595384,fde,ml
74,1.099535728759014,fde,ml
75,0.7879405149725945,fde,ml
76,0.2754927325823962,fde,ml
77,0.5547341928241744,fde,ml
78,1.0946494889024798,fde,ml
79,0.9952372440078155,fde,ml
80,0.20341144250563442,fde,ml
81,0.472522866507733,fde,ml
82,0.3240127816882574,fde,ml
83,0.8717994627565938,fde,ml
84,0.4186244884992622,fde,ml
85,0.300666971541252,fde,ml
86,0.3559000122475992,fde,ml
87,0.4577987498897949,fde,ml
88,0.6515091625677016,fde,ml
89,0.5460576987484544,fde,ml
90,0.4271781394419015,fde,ml
91,1.1320173645229739,fde,ml
92,0.695525669285922,fde,ml
93,0.49862127300203324,fde,ml
94,1.6259133166920166,fde,ml
95,0.75718955950527,fde,ml
96,0.5460240148748968,fde,ml
97,1.9599745437995035,fde,ml
98,0.6102012580797209,fde,ml
99,0.8276918472304471,fde,ml
100,2.309500200146887,fde,ml
101,0.32733419375294465,fde,ml
102,0.932495749543993,fde,ml
103,2.730569204176329,fde,ml
104,0.4231584565837837,fde,ml
105,0.8836863569541946,fde,ml
106,3.162131774173634,fde,ml
107,0.4511720771398872,fde,ml
108,1.1838833248329068,fde,ml
109,0.939747588257426,fde,ml
110,2.8994220904604564,fde,ml
111,0.5078981368618531,fde,ml
112,1.3392494141977962,fde,ml
113,1.0285916034932256,fde,ml
114,2.294622306974158,fde,ml
115,0.622590099221035,fde,ml
116,1.6024069429700951,fde,ml
117,1.0752583412178116,fde,ml
118,2.1590924983872077,fde,ml
119,0.47395559379418056,fde,ml
120,1.8787007770295356,fde,ml
121,0.11847714080934438,fde,ml
122,1.87108090196864,fde,ml
123,0.9383290076193325,fde,ml
124,0.526052725922594,fde,ml
125,0.7633656603812754,fde,ml
126,0.49033640424446795,fde,ml
127,0.5747274695483167,fde,ml
128,0.04907709596058174,fde,ml
129,0.601999208126697,fde,ml
130,0.05707496657942252,fde,ml
131,0.5314636883153476,fde,ml
132,0.059684099388123704,fde,ml
133,0.24497770146235837,fde,ml
134,0.016287194005398766,fde,ml
135,0.10729614689370655,fde,ml
136,0.07768682741401271,fde,ml
137,0.12863866784127248,fde,ml
138,0.04755973498830326,fde,ml
139,0.2363847742309151,fde,ml
140,0.03542919337923845,fde,ml
141,0.7431290715928541,fde,ml
142,0.03429800484721862,fde,ml
143,0.5879990202677693,fde,ml
144,0.6000868493497751,fde,ml
145,0.9785645732186116,fde,ml
146,0.07184910353008453,fde,ml
147,0.5779880927132686,fde,ml
148,0.30661418893392917,fde,ml
149,0.7137316929507158,fde,ml
150,0.03884259136765622,fde,ml
151,0.6366789061869194,fde,ml
152,0.4137585808312458,fde,ml
153,0.31761736686925324,fde,ml
154,0.03134228299811931,fde,ml
155,0.6573072322803579,fde,ml
156,0.3490531155907115,fde,ml
157,0.3278636231498259,fde,ml
158,0.05247238388621276,fde,ml
159,0.3595396495291403,fde,ml
160,0.2738752204881603,fde,ml
161,0.5322932303887086,fde,ml
162,0.10699254180177517,fde,ml
163,0.16206946096888283,fde,ml
164,0.3175394695699149,fde,ml
165,0.9325113536394705,fde,ml
166,0.16402681925995877,fde,ml
167,0.22835207011656772,fde,ml
168,0.3176558717840971,fde,ml
169,1.1144177313727113,fde,ml
170,0.2356408890895705,fde,ml
171,0.21158965326336227,fde,ml
172,0.4429448001356564,fde,ml
173,1.2070488928257974,fde,ml
174,0.320252050327545,fde,ml
175,0.22211764420316138,fde,ml
176,0.36888995396565444,fde,ml
177,0.715538815835608,fde,ml
178,0.40723172213978565,fde,ml
179,0.27189627187865595,fde,ml
180,0.42370585681554535,fde,ml
181,0.8810602326637704,fde,ml
182,0.4957033121091719,fde,ml
183,0.28944809160113155,fde,ml
184,0.6424062342620475,fde,ml
185,1.1178508295771459,fde,ml
186,0.5840543142084732,fde,ml
187,0.7286040786031733,fde,ml
